url,section,template,templateName,disposition
"https://mykp.kp.org/en/hr/benefits/my-health-benefits/benefits-enrollment/enrollment-steps/understand-your-options.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/benefits/my-health-benefits/my-beneficiaries.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/benefits/retirement.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/benefits/ways-to-save/flexible-spending-accounts.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/career.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/career/education-assistance.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/career/manage-career.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/financial-wellness/financial-resources.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/forms-catalog.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/forms-catalog/manager.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation/annual-compensation-cycle/my-executives/communicate-pay.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation/annual-compensation-cycle/my-executives/make-pay-decisions.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation/annual-compensation.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation/inline-career-promotion/steps/submit-promotion-recommendations.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/compensation/pay-programs.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/manage-team-time-off-absences.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/manager-report-catalog.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/ctmp.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/ctmp/consulting-professional-services.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/ctmp/terminate-contingent-worker.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/fill-a-position-employee/manager/create-a-requisition.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/fill-a-position-executive/manager/open-a-requisition.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/hr-action-guides.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/hr-action-guides/delegation-and-access/delegation.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/managing-represented-employees.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/manager-tools/plan-and-hire/talent-planning/jobs-overview.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/money/financial-assistance.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/money/pay.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/money/pay/pay-calendar.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/money/taxes.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/perform-and-grow.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/perform-and-grow/development.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/perform-and-grow/performance-improvement.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/safety-and-security.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/safety-and-security/online-safety.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/safety-and-security/personal-safety.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/safety-and-security/safety-at-work.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/attendance-tools.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/leave-of-absence.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/managing-meal-and-rest-periods.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/meal-and-rest-periods.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timekeeping/salaried-employee.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timekeeping/timekeeping-process/employee.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timekeeping/timekeeping-process/manager-hourly-special-exempt.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timekeeping/timekeeping-process/manager-salaried.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timekeeping/timekeeping-process/manager.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timeoff/holidays.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/timeoff/my-time-off-benefits.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/time/work-schedules/flexible-arrangement.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/videos/boost-feedback-learning-journey.html","hr","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/en/hr/wellness.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/wellness.html?tab=ForManagers","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/wellness/employee-assistance.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
